State/UT,Rural_Government_Hospitals,Rural_Government_Beds,Urban_Government_Hospitals,Urban_Government_Beds,Last_Updated
andhra pradesh,193,6480,65,16658,2017-01-01
arunachal pradesh,208,2136,10,268,2017-12-31
assam,1176,10944,50,6198,2017-12-31
bihar,930,6083,103,5936,2016-12-31
chhattisgarh,169,5070,45,4342,2016-01-01
goa,17,1405,25,1608,2017-12-31
gujarat,364,11715,122,20565,2016-12-31
haryana,609,6690,59,4550,2016-12-31
himachal pradesh,705,5665,96,6734,2017-12-31
jammu and kashmir,56,7234,76,4417,2016-12-30
jharkhand,519,5842,36,4942,2015-12-31
karnataka,2471,21072,374,49093,2017-12-31
kerala,981,16865,299,21139,2017-01-01
madhya pradesh,334,10020,117,18819,2016-01-01
maharashtra,273,12398,438,39048,2015-12-31
manipur,23,730,7,697,2014-01-01
meghalaya,143,1970,14,2487,2017-12-31
mizoram,56,604,34,1393,2017-12-31
nagaland,21,630,15,1250,2015-12-31
orissa,1655,6339,149,12180,2017-12-31
punjab,510,5805,172,12128,2017-12-31
rajasthan,602,21088,150,10760,2016-12-31
sikkim,24,260,9,1300,2017-12-31
tamil nadu,692,40179,525,37353,2017-12-31
telangana,802,7668,61,13315,2017-12-31
tripura,99,1140,56,3277,2017-12-31
uttar pradesh,4442,39104,193,37156,2017-12-31
uttarakhand,410,3284,50,5228,2015-12-31
west bengal,1272,19684,294,58882,2015-01-01
andaman and nicobar islands,27,575,3,500,2016-12-31
chandigarh,0,0,4,778,2016-12-31
dadra and nagar haveli,10,273,1,316,2017-12-31
daman and diu,5,240,0,0,2015-12-31
nct of delhi,0,0,109,24383,2015-01-01
lakshadweep,9,300,0,0,2016-01-01
pondicherry,3,96,11,3473,2016-01-01
all india,19810,279588,3772,431173,
