State/UT,Available beds,Expected beds
andaman and nicobar islands,1246,1141.743
andhra pradesh,60799,148160.397
arunachal pradesh,2320,4151.1810000000005
assam,19115,93616.728
bihar,17796,312298.356
chandigarh,3756,3166.3500000000004
chhattisgarh,14354,76635.594
dadra and nagar haveli,568,1031.127
daman and diu,298,729.741
nct of delhi,20572,50363.823
goa,2666,4375.635
gujarat,41129,181319.076
haryana,13841,76054.386
himachal pradesh,8706,20593.806
jammu and kashmir,11342,37623.906
jharkhand,7404,98964.402
karnataka,56333,177744.822
kerala,39511,100218.183
lakshadweep,250,193.41899999999998
madhya pradesh,38140,217880.42699999997
maharashtra,68998,337122.999
manipur,2562,8567.382
meghalaya,4585,8900.667000000001
mizoram,2312,3291.6179999999995
nagaland,1944,5935.505999999999
orissa,16497,125922.65400000001
pondicherry,4462,3743.859
punjab,13527,83230.014
rajasthan,51844,205645.31100000002
sikkim,1145,1831.731
tamil nadu,72616,216441.09
telangana,17358,105581.93400000001
tripura,4895,11021.751
uttar pradesh,58310,599437.0229999999
uttarakhand,6660,30258.875999999997
west bengal,51163,273828.34500000003
all india,"7,39,024",3627023.8619999997
